id,image_path,question,choices,num_choices,answer,hint,lecture,solution,task,grade,subject,topic,category,skill
train_07667,images/train/train_07667.png,"Why might putting each tadpole in its own pool of water increase the reproductive success of a male Amazonian poison frog? Complete the claim below that answers this question and is best supported by the passage.
Putting each tadpole in its own pool of water increases the chances that ().","[""the male's tadpoles will be larger when they hatch"", ""the male will carry his tadpoles through the forest"", ""the male's tadpoles will become adult frogs""]",3,2,"Animals often behave in certain ways that can increase their reproductive success. Read the passage about a specific animal behavior. Then, follow the instructions below.

Amazonian poison frogs live in tropical forests in northern South America. After a male and female frog mate, the female frog lays eggs on a plant. When tadpoles hatch from the eggs, the male frog lets the tadpoles climb onto his back. The male then searches for water trapped in the spaces where plants' leaves meet their stems. He puts his tadpoles in these small pools of water.
If the male frog puts a tadpole into a pool with a larger tadpole, the smaller tadpole is often eaten. So, the male frog usually puts each tadpole into a pool of water that does not have other tadpoles in it. Each tadpole lives in its own pool until it undergoes metamorphosis to develop into a frog.
Figure: an Amazonian poison frog carrying a dark-colored tadpole on his back.","Animals increase their reproductive success when they have offspring that survive to reproduce.
Animals can increase their chances of having offspring by behaving in ways that help them get partners to mate and reproduce with. These partners are called mates. For example, animals may make special sounds, perform specific dances, or show off bright colors to attract mates. Animals may also compete with each other for mates.
Animals can increase the chances that their offspring will survive to reproduce by caring for and protecting them. For example, animals may feed their offspring or guard them from predators. These behaviors increase the chances that the offspring will survive to adulthood, when they can reproduce.
Many behaviors can increase the chances that animals will have offspring that survive to reproduce. But the behaviors cannot guarantee that the animals will have greater reproductive success. Animals that attract or compete for mates won't always successfully mate and reproduce, and offspring that are fed and protected won't always survive to adulthood.","Look for the part of the passage that describes the effect of putting each tadpole in its own pool of water. Use this information to determine why this behavior can increase the reproductive success of a male Amazonian poison frog.
Choice ""Amazonian poison frogs live in tropical forests in northern South America. After a male and female frog mate, the female frog lays eggs on a plant. When tadpoles hatch from the eggs, the male frog lets the tadpoles climb onto his back. The male then searches for water trapped in the spaces where plants' leaves meet their stems. He puts his tadpoles in these small pools of water."" is correct.
Choice ""If the male frog puts a tadpole into a pool with a larger tadpole, the smaller tadpole is often eaten. So, the male frog usually puts each tadpole into a pool of water that does not have other tadpoles in it. Each tadpole lives in its own pool until it undergoes metamorphosis to develop into a frog."" is incorrect.
Choice ""Choice ""Putting each tadpole in its own pool of water increases the chances that the male's tadpoles will be larger when they hatch."" is incorrect."" is incorrect.
Choice ""Being larger when they hatch could increase the tadpoles' chances for survival. This could increase the male frog's reproductive success. But the passage does not discuss the chances that the male's tadpoles will be larger when they hatch. So, the passage does not support this claim."" is incorrect.
Choice ""Choice ""Putting each tadpole in its own pool of water increases the chances that the male will carry his tadpoles through the forest."" is incorrect."" is incorrect.
Choice ""To increase his reproductive success, the male frog needs to have offspring that survive to reproduce. Carrying offspring through the forest by itself does not directly increase the male's chances of producing offspring that will survive to reproduce. So, just carrying offspring through the forest is not why putting each tadpole in its own pool of water increases the male's reproductive success."" is incorrect.
Choice ""Choice ""Putting each tadpole in its own pool of water increases the chances that the male's tadpoles will become adult frogs."" is incorrect."" is correct.
Choice ""According to the underlined text, tadpoles may eat one another if they are in the same pool of water. So, by putting each tadpole in its own pool of water, the male frog decreases the chances that the tadpoles will be eaten. This increases the chances that the tadpoles will survive until they become adult frogs and can reproduce, which can increase the male frog's reproductive success."" is incorrect.",closed choice,grade8,natural science,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim
train_02628,images/train/train_02628.png,"Why might forming strong social bonds with other females increase the reproductive success of a female baboon? Complete the claim below that answers this question and is best supported by the passage.
Forming strong social bonds with other females increases the chances that ().","[""the female's offspring will live longer"", ""the female will spend more time grooming other baboons"", ""the female's offspring will be around other females""]",3,0,"Animals often behave in certain ways that can increase their reproductive success. Read the passage about a specific animal behavior. Then, follow the instructions below.

Baboons are found in many parts of Africa, where they live in groups. Female baboons in a group can form social bonds, or close relationships, with other females. Most female baboons form social bonds, but some have stronger bonds than others. Females that have stronger social bonds spend more time grooming, or cleaning, each other.
When a female has strong social bonds with other females, more of her offspring reach adulthood than the offspring of females with weak social bonds. This may be because having strong social bonds helps a female handle stress. When female baboons are stressed, the females that have strong social bonds spend more time together. This makes the females less stressed, which can also help their offspring.
Figure: baboons grooming one another.","Animals increase their reproductive success when they have offspring that survive to reproduce.
Animals can increase their chances of having offspring by behaving in ways that help them get partners to mate and reproduce with. These partners are called mates. For example, animals may make special sounds, perform specific dances, or show off bright colors to attract mates. Animals may also compete with each other for mates.
Animals can increase the chances that their offspring will survive to reproduce by caring for and protecting them. For example, animals may feed their offspring or guard them from predators. These behaviors increase the chances that the offspring will survive to adulthood, when they can reproduce.
Many behaviors can increase the chances that animals will have offspring that survive to reproduce. But the behaviors cannot guarantee that the animals will have greater reproductive success. Animals that attract or compete for mates won't always successfully mate and reproduce, and offspring that are fed and protected won't always survive to adulthood.","Look for the part of the passage that describes the effect of forming strong social bonds with other females. Use this information to determine why this behavior can increase the reproductive success of the female baboon.
Choice ""Baboons are found in many parts of Africa, where they live in groups. Female baboons in a group can form social bonds, or close relationships, with other females. Most female baboons form social bonds, but some have stronger bonds than others. Females that have stronger social bonds spend more time grooming, or cleaning, each other."" is correct.
Choice ""When a female has strong social bonds with other females, more of her offspring reach adulthood than the offspring of females with weak social bonds. This may be because having strong social bonds helps a female handle stress. When female baboons are stressed, the females that have strong social bonds spend more time together. This makes the females less stressed, which can also help their offspring."" is incorrect.
Choice ""Choice ""Forming strong social bonds with other females increases the chances that the female will spend more time grooming other baboons."" is incorrect."" is incorrect.
Choice ""To increase her reproductive success, the female baboon needs to have offspring that survive to reproduce. Spending more time on grooming does not directly increase the female's chances of producing offspring that survive to reproduce. So, spending more time on grooming is not why forming strong social bonds increases the female's reproductive success."" is incorrect.
Choice ""Choice ""Forming strong social bonds with other females increases the chances that the female's offspring will be around other females."" is incorrect."" is incorrect.
Choice ""When female baboons have strong social bonds, they spend more time around each other. So, forming strong social bonds with other females could increase the chances that a female's offspring will be around other females. But the passage does not discuss whether having offspring around other females affects the female's reproductive success. So, the passage does not support this claim."" is incorrect.
Choice ""Choice ""Forming strong social bonds with other females increases the chances that the female's offspring will live longer."" is incorrect."" is correct.
Choice ""According to the underlined text, female baboons with strong social bonds have more offspring that reach adulthood than females with weak social bonds do. So, by forming strong social bonds, a female baboon increases the chances that her offspring will live longer and reach adulthood. This increases the chances that her offspring will reproduce, which can increase her reproductive success."" is incorrect.",closed choice,grade8,natural science,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim
train_00927,images/train/train_00927.png,"Why might raising cubs with other lionesses in a pride increase an African lioness's reproductive success? Complete the claim below that answers this question and is best supported by the passage.
Raising cubs with other lionesses in a pride increases the chances that ().","[""the lioness's cubs will be around other cubs"", ""the lioness's cubs will survive attacks"", ""the lioness will feed the cubs of other lionesses""]",3,1,"Animals often behave in certain ways that can increase their reproductive success. Read the passage about a specific animal behavior. Then, follow the instructions below.

African lions live in groups called prides. In a pride, female lions, or lionesses, may give birth to cubs around the same time. When this happens, the lionesses help raise each other's cubs. The lionesses work together to feed and protect all the cubs for about two years.
Lionesses have to protect their cubs from male lions that are not part of their pride. These male lions may attack and kill the cubs to try to take over the pride. When a pride has multiple lionesses, the cubs are less likely to be killed in an attack. When a pride has only one lioness, the cubs are more likely to be killed.
Figure: African lionesses and their cubs.","Animals increase their reproductive success when they have offspring that survive to reproduce.
Animals can increase their chances of having offspring by behaving in ways that help them get partners to mate and reproduce with. These partners are called mates. For example, animals may make special sounds, perform specific dances, or show off bright colors to attract mates. Animals may also compete with each other for mates.
Animals can increase the chances that their offspring will survive to reproduce by caring for and protecting them. For example, animals may feed their offspring or guard them from predators. These behaviors increase the chances that the offspring will survive to adulthood, when they can reproduce.
Many behaviors can increase the chances that animals will have offspring that survive to reproduce. But the behaviors cannot guarantee that the animals will have greater reproductive success. Animals that attract or compete for mates won't always successfully mate and reproduce, and offspring that are fed and protected won't always survive to adulthood.","Look for the part of the passage that describes the effect of raising cubs with other lionesses in a pride. Use this information to determine why this behavior can increase the African lioness's reproductive success.
Choice ""African lions live in groups called prides. In a pride, female lions, or lionesses, may give birth to cubs around the same time. When this happens, the lionesses help raise each other's cubs. The lionesses work together to feed and protect all the cubs for about two years."" is incorrect.
Choice ""Lionesses have to protect their cubs from male lions that are not part of their pride. These male lions may attack and kill the cubs to try to take over the pride. When a pride has multiple lionesses, the cubs are less likely to be killed in an attack. When a pride has only one lioness, the cubs are more likely to be killed."" is incorrect.
Choice ""Choice ""Raising cubs with other lionesses in a pride increases the chances that the lioness's cubs will survive attacks."" is incorrect."" is correct.
Choice ""According to the underlined text, cubs are more likely to survive attacks by male lions when a pride has multiple lionesses. So, by raising cubs with other lionesses in a pride, a lioness increases the chances that her cubs will survive. This can increase her reproductive success."" is incorrect.
Choice ""Choice ""Raising cubs with other lionesses in a pride increases the chances that the lioness's cubs will be around other cubs."" is incorrect."" is incorrect.
Choice ""Raising cubs with other lionesses in a pride may increase the chances that the lioness's cubs will be around other cubs. But the passage does not discuss whether this could affect the lioness's reproductive success. If more cubs are in a pride, they may compete for food. If the lioness's cubs have trouble getting food, that could decrease her reproductive success."" is incorrect.
Choice ""Choice ""Raising cubs with other lionesses in a pride increases the chances that the lioness will feed the cubs of other lionesses."" is incorrect."" is incorrect.
Choice ""To increase her reproductive success, the lioness needs to have offspring that survive to reproduce. Feeding the cubs of other lionesses does not directly increase the lioness's chances of producing offspring that survive to reproduce. So, feeding other cubs of other lionesses is not why raising cubs with other lionesses increases the lioness's reproductive success."" is incorrect.",closed choice,grade8,natural science,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim
train_10389,images/train/train_10389.png,"Why might removing broken eggshells from the nest increase the reproductive success of a black-headed gull? Complete the claim below that answers this question and is best supported by the passage.
Removing broken eggshells from the nest increases the chances that ().","[""the gull's chicks will get food"", ""the gull's offspring will survive"", ""the gull will be away from its offspring at a given time""]",3,1,"Animals often behave in certain ways that can increase their reproductive success. Read the passage about a specific animal behavior. Then, follow the instructions below.

Black-headed gulls build their nests on the ground. The gulls' eggs, chicks, and nests are brown, so they blend in with the sand, twigs, and dry grass around them. But the inside of a gull's eggshell is white. When an egg hatches, the white of the broken eggshell stands out from the brown nest. This makes it easier for crows and other predators to find the nest and eat the offspring in it.
After an egg hatches, the parent gull leaves the nest to carry the broken eggshell away. This helps the nest blend in with the environment again. It is harder for predators to find offspring in a nest that blends in with the environment.
Figure: a black-headed gull carrying a broken eggshell.","Animals increase their reproductive success when they have offspring that survive to reproduce.
Animals can increase their chances of having offspring by behaving in ways that help them get partners to mate and reproduce with. These partners are called mates. For example, animals may make special sounds, perform specific dances, or show off bright colors to attract mates. Animals may also compete with each other for mates.
Animals can increase the chances that their offspring will survive to reproduce by caring for and protecting them. For example, animals may feed their offspring or guard them from predators. These behaviors increase the chances that the offspring will survive to adulthood, when they can reproduce.
Many behaviors can increase the chances that animals will have offspring that survive to reproduce. But the behaviors cannot guarantee that the animals will have greater reproductive success. Animals that attract or compete for mates won't always successfully mate and reproduce, and offspring that are fed and protected won't always survive to adulthood.","Look for the part of the passage that describes the effect of removing broken eggshells from the nest. Use this information to determine why this behavior can increase the reproductive success of the black-headed gull.
Choice ""Black-headed gulls build their nests on the ground. The gulls' eggs, chicks, and nests are brown, so they blend in with the sand, twigs, and dry grass around them. But the inside of a gull's eggshell is white. When an egg hatches, the white of the broken eggshell stands out from the brown nest. This makes it easier for crows and other predators to find the nest and eat the offspring in it."" is incorrect.
Choice ""After an egg hatches, the parent gull leaves the nest to carry the broken eggshell away. This helps the nest blend in with the environment again. It is harder for predators to find offspring in a nest that blends in with the environment."" is correct.
Choice ""Choice ""Removing broken eggshells from the nest increases the chances that the gull will be away from its offspring at a given time."" is incorrect."" is incorrect.
Choice ""Removing broken eggshells from the nest may increase the chances that the gull will be away from its offspring at a given time. But the passage does not support the claim that the gull can increase its reproductive success by being away from its offspring. Leaving the offspring alone in the nest could put them in danger. This could decrease the chances that the offspring will survive, which could decrease the gull's reproductive success."" is incorrect.
Choice ""Choice ""Removing broken eggshells from the nest increases the chances that the gull's chicks will get food."" is incorrect."" is incorrect.
Choice ""Getting food to the chicks could increase the chances that the gull's chicks will survive. This could increase the gull's reproductive success. But the passage does not discuss the chances that the gull's chicks will get food. So, the passage does not support this claim."" is incorrect.
Choice ""Choice ""Removing broken eggshells from the nest increases the chances that the gull's offspring will survive."" is incorrect."" is correct.
Choice ""According to the underlined text, it is harder for predators to find offspring when there are no broken eggshells in the nest. So, by removing broken eggshells from the nest, the parent gull decreases the chances that predators will eat the gull's offspring. This increases the chances that the gull's offspring will survive, which can increase its reproductive success."" is incorrect.",closed choice,grade8,natural science,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim
train_09024,images/train/train_09024.png,"Why might feeding offspring during mouthbrooding increase the reproductive success of a female blunthead cichlid? Complete the claim below that answers this question and is best supported by the passage.
Feeding offspring during mouthbrooding increases the chances that ().","[""the female will become weak and unhealthy"", ""the female's offspring will survive"", ""the female will hold more offspring in her mouth""]",3,1,"Animals often behave in certain ways that can increase their reproductive success. Read the passage about a specific animal behavior. Then, follow the instructions below.

Blunthead cichlids (SIK-lids) are fish that live in Lake Tanganyika in Eastern Africa. After a female blunthead cichlid lays eggs, she holds the eggs in her mouth. Once they hatch, her young fish live in her mouth until they are old enough to survive on their own. This process, called mouthbrooding, takes about six weeks.
While mouthbrooding, the female cichlid catches algae from the lake. But she does not swallow any. Instead, she feeds the algae to her offspring by holding it in her mouth for the offspring to eat. By eating the algae, the offspring grow larger and become faster swimmers that can escape predators more quickly.
Figure: a blunthead cichlid.","Animals increase their reproductive success when they have offspring that survive to reproduce.
Animals can increase their chances of having offspring by behaving in ways that help them get partners to mate and reproduce with. These partners are called mates. For example, animals may make special sounds, perform specific dances, or show off bright colors to attract mates. Animals may also compete with each other for mates.
Animals can increase the chances that their offspring will survive to reproduce by caring for and protecting them. For example, animals may feed their offspring or guard them from predators. These behaviors increase the chances that the offspring will survive to adulthood, when they can reproduce.
Many behaviors can increase the chances that animals will have offspring that survive to reproduce. But the behaviors cannot guarantee that the animals will have greater reproductive success. Animals that attract or compete for mates won't always successfully mate and reproduce, and offspring that are fed and protected won't always survive to adulthood.","Look for the part of the passage that describes the effect of feeding offspring during mouthbrooding. Use this information to determine why this behavior can increase the reproductive success of the female blunthead cichlid.
Choice ""Blunthead cichlids (SIK-lids) are fish that live in Lake Tanganyika in Eastern Africa. After a female blunthead cichlid lays eggs, she holds the eggs in her mouth. Once they hatch, her young fish live in her mouth until they are old enough to survive on their own. This process, called mouthbrooding, takes about six weeks."" is incorrect.
Choice ""While mouthbrooding, the female cichlid catches algae from the lake. But she does not swallow any. Instead, she feeds the algae to her offspring by holding it in her mouth for the offspring to eat. By eating the algae, the offspring grow larger and become faster swimmers that can escape predators more quickly."" is incorrect.
Choice ""Choice ""Feeding offspring during mouthbrooding increases the chances that the female will become weak and unhealthy."" is incorrect."" is incorrect.
Choice ""Feeding offspring during mouthbrooding may increase the chances that the female cichlid will go hungry. This could make her weak and unhealthy. But the passage does not support the claim that the female can increase her reproductive success by becoming weak and unhealthy. Becoming too weak or unhealthy could kill or permanently harm the female. This could decrease her reproductive success."" is incorrect.
Choice ""Choice ""Feeding offspring during mouthbrooding increases the chances that the female's offspring will survive."" is correct."" is correct.
Choice ""According to the underlined text, offspring that are fed during mouthbrooding are able to escape predators more quickly. So, by feeding offspring during mouthbrooding, a female cichlid helps her offspring escape predators. This increases the chances that the female's offspring will survive, which can increase her reproductive success."" is incorrect.
Choice ""Choice ""Feeding offspring during mouthbrooding increases the chances that the female will hold more offspring in her mouth."" is incorrect."" is incorrect.
Choice ""Holding more offspring in her mouth could increase the chances that more of the female cichlid's offspring will survive. This could increase her reproductive success. But the passage does not discuss what affects how many offspring the female holds in her mouth. So, the passage does not support this claim."" is incorrect.",closed choice,grade8,natural science,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim
train_07987,images/train/train_07987.png,"Why might guarding the nest increase the reproductive success of a female long-tailed sun skink? Complete the claim below that answers this question and is best supported by the passage.
Guarding the nest increases the chances that ().","[""the female will lay more eggs"", ""the female will be injured by a snake"", ""the female's eggs will hatch""]",3,2,"Animals often behave in certain ways that can increase their reproductive success. Read the passage about a specific animal behavior. Then, follow the instructions below.

Long-tailed sun skinks are lizards that live in southeast Asia. Most female skinks abandon their nests after laying eggs. But female skinks that live on a particular island with many egg-eating snakes behave differently. These skinks may guard their nests for several days after laying eggs.
When female skinks on the island guard their nests, fewer eggs are eaten by egg-eating snakes. If a female is at her nest when a snake approaches, she will attack the snake. Often, she can wrestle the snake out of her nest and away from her eggs.
Figure: a long-tailed sun skink.","Animals increase their reproductive success when they have offspring that survive to reproduce.
Animals can increase their chances of having offspring by behaving in ways that help them get partners to mate and reproduce with. These partners are called mates. For example, animals may make special sounds, perform specific dances, or show off bright colors to attract mates. Animals may also compete with each other for mates.
Animals can increase the chances that their offspring will survive to reproduce by caring for and protecting them. For example, animals may feed their offspring or guard them from predators. These behaviors increase the chances that the offspring will survive to adulthood, when they can reproduce.
Many behaviors can increase the chances that animals will have offspring that survive to reproduce. But the behaviors cannot guarantee that the animals will have greater reproductive success. Animals that attract or compete for mates won't always successfully mate and reproduce, and offspring that are fed and protected won't always survive to adulthood.","Look for the part of the passage that describes the effect of guarding the nest. Use this information to determine why this behavior can increase the reproductive success of the female long-tailed sun skink.
Choice ""Long-tailed sun skinks are lizards that live in southeast Asia. Most female skinks abandon their nests after laying eggs. But female skinks that live on a particular island with many egg-eating snakes behave differently. These skinks may guard their nests for several days after laying eggs."" is incorrect.
Choice ""When female skinks on the island guard their nests, fewer eggs are eaten by egg-eating snakes. If a female is at her nest when a snake approaches, she will attack the snake. Often, she can wrestle the snake out of her nest and away from her eggs."" is incorrect.
Choice ""Choice ""Guarding the nest increases the chances that the female's eggs will hatch."" is incorrect."" is correct.
Choice ""According to the underlined text, predators eat fewer eggs when the eggs are guarded by female skinks. So, by guarding her nest, the female skink decreases the chances that snakes will eat her eggs. This increases the chances that the female's eggs will hatch, which can increase her reproductive success."" is incorrect.
Choice ""Choice ""Guarding the nest increases the chances that the female will be injured by a snake."" is incorrect."" is incorrect.
Choice ""Guarding her nest may increase the chances that the female skink will be injured by a snake. But the passage does not support the claim that the female can increase her reproductive success by being injured by a snake. An injury could kill or permanently harm the female skink. This could decrease her reproductive success."" is incorrect.
Choice ""Choice ""Guarding the nest increases the chances that the female will lay more eggs."" is incorrect."" is incorrect.
Choice ""Laying more eggs could increase the chances that the female skink will have more offspring. This could increase her reproductive success. But the passage does not discuss the chances that the female will lay more eggs. So, the passage does not support this claim."" is incorrect.",closed choice,grade8,natural science,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim
train_02336,images/train/train_02336.png,"Why might grooming eggs increase the reproductive success of a female European earwig? Complete the claim below that answers this question and is best supported by the passage.
Grooming eggs increases the chances that ().","[""the female will spend time near her offspring"", ""the female will produce more eggs"", ""the female's offspring will survive""]",3,2,"Animals often behave in certain ways that can increase their reproductive success. Read the passage about a specific animal behavior. Then, follow the instructions below.

European earwigs are small insects that raise their offspring in cool, moist soil. After earwigs mate, females lay their eggs in underground nests. Females often groom, or clean, their eggs. The females lick their eggs and turn them over in the nest to groom them.
When female earwigs groom eggs, the eggs hatch more often. This is because grooming helps to remove mold from the surface of the eggs. Mold often lives in the soil around the nest and can infect and kill the eggs.
Figure: a female European earwig caring for her eggs.","Animals increase their reproductive success when they have offspring that survive to reproduce.
Animals can increase their chances of having offspring by behaving in ways that help them get partners to mate and reproduce with. These partners are called mates. For example, animals may make special sounds, perform specific dances, or show off bright colors to attract mates. Animals may also compete with each other for mates.
Animals can increase the chances that their offspring will survive to reproduce by caring for and protecting them. For example, animals may feed their offspring or guard them from predators. These behaviors increase the chances that the offspring will survive to adulthood, when they can reproduce.
Many behaviors can increase the chances that animals will have offspring that survive to reproduce. But the behaviors cannot guarantee that the animals will have greater reproductive success. Animals that attract or compete for mates won't always successfully mate and reproduce, and offspring that are fed and protected won't always survive to adulthood.","Look for the part of the passage that describes the effect of grooming eggs. Use this information to determine why this behavior can increase the reproductive success of the female European earwig.
Choice ""European earwigs are small insects that raise their offspring in cool, moist soil. After earwigs mate, females lay their eggs in underground nests. Females often groom, or clean, their eggs. The females lick their eggs and turn them over in the nest to groom them."" is incorrect.
Choice ""When female earwigs groom eggs, the eggs hatch more often. This is because grooming helps to remove mold from the surface of the eggs. Mold often lives in the soil around the nest and can infect and kill the eggs."" is incorrect.
Choice ""Choice ""Grooming eggs increases the chances that the female's offspring will survive."" is incorrect."" is correct.
Choice ""According to the underlined text, grooming eggs helps remove mold from the surface of the eggs. So, by grooming eggs, the female earwig decreases the chances that mold will infect and kill the eggs. This increases the chances that the female's offspring will survive, which can increase her reproductive success."" is incorrect.
Choice ""Choice ""Grooming eggs increases the chances that the female will spend time near her offspring."" is incorrect."" is incorrect.
Choice ""To increase her reproductive success, the female earwig needs to have offspring that survive to reproduce. Spending time near her offspring does not directly increase the female's chances of producing offspring that survive to reproduce. So, spending time near her offspring is not why grooming eggs increases the female's reproductive success."" is incorrect.
Choice ""Choice ""Grooming eggs increases the chances that the female will produce more eggs."" is incorrect."" is incorrect.
Choice ""Producing more eggs could increase the chances that the female earwig will have more surviving offspring. This could increase her reproductive success. But the passage does not discuss the chances that the female will produce more eggs. So, the passage does not support this claim."" is incorrect.",closed choice,grade8,natural science,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim
train_03216,images/train/train_03216.png,"Based on the text, which of the following things made the passenger pigeon migration a special event?","[""The migration caused warmer weather and forest growth."", ""Only people in Florida and Texas could see the migration."", ""The migration only happened every one hundred years."", ""The sun was blocked out by huge flocks of birds.""]",4,3,"Read the text about passenger pigeons.
Imagine the year 1800. The sky roars with a great clamor, like the sound of a thousand trains. The daytime sky becomes dark as sunlight is blotted out. Is it a terrible thunderstorm? No, it's actually a flock of thousands of passenger pigeons zooming overhead! Hundreds of years ago, there were three to five billion passenger pigeons in America, and the incredible sight of a flock's flight was a regular event. Sadly, passenger pigeons are extinct. None are left today.
Passenger pigeons were a migratory bird. Migratory birds move about from season to season searching for places to nest and feed. The passenger pigeon migration ranged from Canada all the way to Texas and Florida. During a migration, thousands of birds would fly together from morning to night for several days. People reported seeing flocks as large as a mile wide! The migrations took place in spring and fall, when warmer weather brought forests to life with fresh food sources like nuts, seeds, berries, and insects.
At first, it seemed as though passenger pigeons were an endless supply of tasty meat. When a massive flock passed by, hunters could easily catch a few passenger pigeons without affecting the others. But later, hunters would travel to find nesting sites. A passenger pigeon nesting site might contain over one million birds. The birds usually nested close together, and hunters found them to be easy targets.
Eventually this overhunting destroyed the pigeon population. The last known passenger pigeon in the world died at the Cincinnati Zoological Garden in 1914. The pigeon, named Martha, was twenty-nine years old. Although the extinction of the passenger pigeon is a terrible loss, it did have one happy result: it pushed people to create wildlife protection laws to protect other creatures from a similar fate.",,"This detail made the passenger pigeon migration a special event:
The sun was blocked out by huge flocks of birds.
The first paragraph states that the daytime sky became dark as sunlight was blotted out by the pigeons.
These things are not stated in the text:
Only people in Florida and Texas could see the migration.
The migration only happened every one hundred years.
The migration caused warmer weather and forest growth.",closed choice,grade5,language science,reading-comprehension,Informational texts: level 1,Read passages about animals
train_07464,images/train/train_07464.png,What is the probability that a watermelon plant produced by this cross will be heterozygous for the ground spot color gene?,"[""1/4"", ""3/4"", ""0/4"", ""2/4"", ""4/4""]",5,3,"This passage describes the ground spot color trait in watermelon plants:
Watermelon plants grow with their fruit resting on the ground. Over time, the bottom of each fruit develops a white or yellow spot called a ground spot. In some types of watermelon plants, the color of the ground spot is an inherited trait.
In a group of watermelon plants, some individuals have a yellow ground spot and others have a white ground spot. In this group, the gene for the ground spot color trait has two alleles. The allele for a yellow ground spot (G) is dominant over the allele for a white ground spot (g).
This Punnett square shows a cross between two watermelon plants.","Offspring genotypes: homozygous or heterozygous?
How do you determine whether an organism is homozygous or heterozygous for a gene? Look at the alleles in the organism's genotype for that gene.
An organism with two identical alleles for a gene is homozygous for that gene.
If both alleles are dominant, the organism is homozygous dominant for the gene.
If both alleles are recessive, the organism is homozygous recessive for the gene.
An organism with two different alleles for a gene is heterozygous for that gene.
In a Punnett square, each box represents a different outcome, or result. Each of the four outcomes is equally likely to happen. Each box represents one way the parents' alleles can combine to form an offspring's genotype. 
Because there are four boxes in the Punnett square, there are four possible outcomes.
An event is a set of one or more outcomes. The probability of an event is a measure of how likely the event is to happen. This probability is a number between 0 and 1, and it can be written as a fraction:
probability of an event = number of ways the event can happen / number of equally likely outcomes
You can use a Punnett square to calculate the probability that a cross will produce certain offspring. For example, the Punnett square below has two boxes with the genotype Ff. It has one box with the genotype FF and one box with the genotype ff. This means there are two ways the parents' alleles can combine to form Ff. There is one way they can combine to form FF and one way they can combine to form ff.
 | F | f
F | FF | Ff
f | Ff | ff
Consider an event in which this cross produces an offspring with the genotype ff. The probability of this event is given by the following fraction:
number of ways the event can happen / number of equally likely outcomes = number of boxes with the genotype ff / total number of boxes = 1 / 4",,closed choice,grade8,natural science,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types
train_02324,images/train/train_02324.png,What is the probability that a fruit fly produced by this cross will be homozygous dominant for the antenna type gene?,"[""0/4"", ""1/4"", ""4/4"", ""2/4"", ""3/4""]",5,1,"This passage describes the antenna type trait in fruit flies:
Most fruit flies have a pair of antennae on their head. But, some flies appear to have an extra pair of legs on their head instead! These flies have a mutation, or change, in a gene that affects body development. This mutation makes the cells in the fly's head form mutated antennae that are like legs.
In a group of fruit flies, some individuals have mutated antennae and others have normal antennae. In this group, the gene for the antenna type trait has two alleles. The allele for mutated antennae (A) is dominant over the allele for normal antennae (a).
This Punnett square shows a cross between two fruit flies.","Offspring genotypes: homozygous or heterozygous?
How do you determine whether an organism is homozygous or heterozygous for a gene? Look at the alleles in the organism's genotype for that gene.
An organism with two identical alleles for a gene is homozygous for that gene.
If both alleles are dominant, the organism is homozygous dominant for the gene.
If both alleles are recessive, the organism is homozygous recessive for the gene.
An organism with two different alleles for a gene is heterozygous for that gene.
In a Punnett square, each box represents a different outcome, or result. Each of the four outcomes is equally likely to happen. Each box represents one way the parents' alleles can combine to form an offspring's genotype. 
Because there are four boxes in the Punnett square, there are four possible outcomes.
An event is a set of one or more outcomes. The probability of an event is a measure of how likely the event is to happen. This probability is a number between 0 and 1, and it can be written as a fraction:
probability of an event = number of ways the event can happen / number of equally likely outcomes
You can use a Punnett square to calculate the probability that a cross will produce certain offspring. For example, the Punnett square below has two boxes with the genotype Ff. It has one box with the genotype FF and one box with the genotype ff. This means there are two ways the parents' alleles can combine to form Ff. There is one way they can combine to form FF and one way they can combine to form ff.
 | F | f
F | FF | Ff
f | Ff | ff
Consider an event in which this cross produces an offspring with the genotype ff. The probability of this event is given by the following fraction:
number of ways the event can happen / number of equally likely outcomes = number of boxes with the genotype ff / total number of boxes = 1 / 4",,closed choice,grade8,natural science,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types
